가게명,카테고리,주소,전화번호
야마벤또,일식,부산 금정구 금강로 255-4,051-512-9284
톤쇼우 부산대본점,일식,부산 금정구 금강로 247-10,010-5685-5482
뭄바이,기타,부산 금정구 금강로 271-6,051-991-1417
부산대밀면,한식,부산 금정구 부산대학로63번길 50,051-582-1110
쿠카이야,일식,부산 금정구 부산대학로63번길 37,051-581-3004
촨촨향양꼬치,중식,부산 금정구 부산대학로50번길 39,010-6858-8905
조우,한식,부산 금정구 금강로 256-8,0503-7151-7076
진국명가,한식,부산 금정구 금강로 271,051-512-8880
토흐(TOH),일식,부산 금정구 금강로 295-1,051-583-0120
우리집중국전통가정요리,중식,부산 금정구 금강로321번길 60,010-4367-1018
고래섬 부산대점,한식,부산 금정구 금강로 260,051-583-2050
원조밀면,한식,부산 금정구 부산대학로64번길 112,051-582-8254
안다미로,일식,부산 금정구 금강로279번길 8,051-581-1230
송림,한식,부산 금정구 부산대학로64번길 12-6,051-518-6565
야마즈미우동,일식,부산 금정구 금강로 285-3,051-944-3438
동경생돈까스,일식,부산 금정구 금강로279번길 6,051-515-8802
스시심,일식,부산 금정구 금강로 279-1,051-515-3088
탕화쿵푸마라탕 부산대점,중식,부산 금정구 금강로 267,051-583-5233
아웃닭 부산대점,기타,부산 금정구 부산대학로50번길 28,051-512-4375
솔밭집,한식,부산 금정구 산성로 961,051-515-0066
미가락,일식,부산 금정구 부산대학로 57,051-583-2378
수림식당,중식,부산 금정구 금샘로 7,070-7779-1931
뉴숯불통닭 본점,기타,부산 금정구 금강로335번길 55,051-514-3885
이삭토스트 부산대점,기타,부산 금정구 부산대학로 63,070-8771-0033
박가부대 부산대점,한식,부산 금정구 금강로 266,051-513-6030
형제닭도리,한식,부산 금정구 금정로91번길 13-1,051-515-8494
조선대패 부산대점,한식,부산 금정구 장전로 42,0507-1435-4750
짚신매운갈비찜 부산대점,한식,부산 금정구 금강로 250,051-583-7776
명주네보쌈,한식,부산 금정구 금정로119번길 16,051-512-2093
이모식당,한식,부산 금정구 부산대학로63번길 21-3,051-515-8547
포포포 부산대본점,기타,부산 금정구 금강로 264,051-582-1566
엘부리또,양식,부산 금정구 금강로279번길 30-7,
카츠안 부산대점,일식,부산 금정구 금정로 59-8,051-517-5133
소다미김밥,기타,부산 금정구 금강로 271-4,051-518-7518
이흥용과자점 부산대직영점,기타,부산 금정구 부산대학로63번길 30,051-711-4454
삼백집 부산대NC점,한식,부산 금정구 부산대학로63번길 2,051-509-7226
황금칼국수,한식,부산 금정구 부산대학로38번길 35,051-515-3005
